fid,Naziv stajalista,X,Y
"1",Manastir Vojlovica,20.68276357,44.82820799
"2",,21.385881207027,44.9564079801414
"3",Stara Vajfertova pivara,20.63869928,44.86879078
"4",Gimnazija Uroš Predić,20.63806313,44.87052448
"5",Zgrada Magistrata- Narodni muzej,20.64079037,44.87123569
"6",Trg Slobode,20.6412007,44.8691178
"7",Crkva Svetog Preobraženja,20.63221174,44.87771108
"8",Evangelosticka crkva,20.64373309,44.86834442
"9",Istorijski arhiv,20.64851484,44.87266665
"10",Gradska biblioteka,20.6457757,44.87178569
"11",Kip Svetog Florijana,20.64586649,44.8702557
"12",Stara Bolnica,20.65106831,44.86875072
"13",Narodna bašta,20.65776772,44.86700672
